Type,Country Code,Series Code,Time Code,Description
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"Vital Statistics, Basic Information 2003, Information and Statistics Direction, MOH"
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Argentina Estadisticas Vitales. Informacion Basica 2004.. Exclude "comadre", includes "Partera""
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"Estadísticas Vitales Información Básica 2005, Ministerio de Salud."
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"Estadísticas Vitales Información Básica 2006, Ministerio de Salud."
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Estadísticas Vitales Información Básica 2007, Ministerio de Salud."
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Estadísticas Vitales, Información Básica 2008. Ministerio de Salud, Diciembre de 2009."
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),"Estadísticas Vitales, Información Básica año 2009. Ministerio de Salud de la nación._2010, Tab.19, p.22"
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: Ministerio de Salud de la Nación. 2010, Table 19"
FootNote,Argentina (ARG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),Source: Ministerio de Salud de la Nación. Estadísticas vitales. Información básica año 2011.
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"TransMONEE database 2010, Table 6.1"
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"TransMONEE database 2010, Table 6.1"
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"DHS 2005, Final report, Table 10.5, p 119"
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"TransMONEE database 2010, Table 6.1"
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Administrative data, calculated, 2007"
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"TransMONEE database 2010, Table 6.1"
FootNote,Armenia (ARM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: DHS  2010, Table 10.7, p. 125"
FootNote,Antigua and Barbuda (ATG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),Pan American Health Organization. Report from Ministry of Health transmitted to Area of Health Analysis and Information Systems (AIS) by PAHO/WHO Country Representative (PWR). 2004
FootNote,Antigua and Barbuda (ATG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Health Situation in the Americas, Basic Indicators 2005, PAHO/WHO "
FootNote,Antigua and Barbuda (ATG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"Health Situation in the Americas, Basic Indicators 2006, PAHO/WHO"
FootNote,Antigua and Barbuda (ATG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"Health Situation in the Americas, Basic Indicators 2007, PAHO/WHO"
FootNote,Antigua and Barbuda (ATG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Health Situation in the Americas, Basic Indicators 2008, PAHO/WHO "
FootNote,Antigua and Barbuda (ATG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Source: Health Situation in the America, Basic Indicators 2009, PAHO/WHO"
FootNote,Australia (AUS),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),Statistic tables 2006. WHO regional office for the western pacific.
FootNote,Australia (AUS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2011 (YR2011),Preliminary.
FootNote,Australia (AUS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2012 (YR2012),Extrapolated assuming the same as previous year
FootNote,Azerbaijan (AZE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"Source: DHS 2006, Final report, Table 10.5, P.123"
FootNote,Azerbaijan (AZE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: UNICEF Transmonee, 2012 database"
FootNote,Azerbaijan (AZE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2005 (YR2005),Interpolated data assuming linear trend.
FootNote,Azerbaijan (AZE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2011 (YR2011),Interpolated data assuming linear trend.
FootNote,Burundi (BDI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"MICS 2005, Final report, Table RH.5"
FootNote,Burundi (BDI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: DHS 2010, Table 8.6, p. 96"
FootNote,Belgium (BEL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2011 (YR2011),Break in series.
FootNote,Benin (BEN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"Country Data, APR"
FootNote,Benin (BEN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"DHS 2006, Final report, Table 8.6, p. 118"
FootNote,Benin (BEN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),"Source: DHS (Prelim) 2011-2012, p.12. Tab 6"
FootNote,Burkina Faso (BFA),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"DHS 2003, Reanalyzed by UNICEF HQ."
FootNote,Burkina Faso (BFA),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"MICS 2006, Final report, Table RH.5"
FootNote,Burkina Faso (BFA),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: DHS/MICS 2010, Page 120/ Tab 8.6"
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"MICS 2003, Final report, p. 62 and p. 94."
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"DHS 2004, Final report, Table 10.6, p. 143"
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"MICS 2006, Final report, Table RH.3"
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"DHS 2007, Final report, Table 9.7, p.119"
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),"MICS, BBS-UNICEF 2010, Technical Report, Table 5, pages 86-88"
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Maternal mortality and health care survey 2010, Preliminary results"
FootNote,Bangladesh (BGD),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),Source: DHS 2011
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"TransMONEE database 2010, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"TransMONEE database 2010, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"TransMONEE database 2010, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"TransMONEE database 2010, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"TransMONEE database 2010, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Source: TransMONEE database 2010, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),"TransMONEE database 2011, Table 6.1"
FootNote,Bulgaria (BGR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: TransMONEE database 2012, Table 6.1"
FootNote,Bulgaria (BGR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2007 (YR2007),Break in series.
FootNote,Bahrain (BHR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),Making pregnancy safer statistics in the Eastern Mediterranean Region 2005. WHO regional office for the Eastern Mediterranian
FootNote,Bahrain (BHR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Source: Making pregnancy safer statistics in the Eastern Mediterranean Region, 2009"
FootNote,Bahrain (BHR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),Source: MDGs Progress 2010
FootNote,"Bahamas, The (BHS)",Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Health Situation in the Americas, Basic Indicators 2002, PAHO/WHO."
FootNote,"Bahamas, The (BHS)",Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"Health Situation in the Americas, Basic Indicators 2007, PAHO/WHO"
FootNote,"Bahamas, The (BHS)",Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Source: Health Situation in the Americas, Basic Indicators 2008, PAHO/WHO"
FootNote,Bosnia and Herzegovina (BIH),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"TransMONEE database 2010, Table 6.1"
FootNote,Bosnia and Herzegovina (BIH),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"TransMONEE database 2010, Table 6.1"
FootNote,Bosnia and Herzegovina (BIH),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"TransMONEE database 2010, Table 6.1"
FootNote,Bosnia and Herzegovina (BIH),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"Source: MICS 2006, Final report, Table RH.5"
FootNote,Bosnia and Herzegovina (BIH),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),Source: MICS 2011-2012
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"TransMONEE database 2010, Table 6.1"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"TransMONEE database 2010, Table 6.1"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"MICS 2005, Table RH.4"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"TransMONEE database 2010, Table 6.1"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"TransMONEE database 2010, Table 6.1"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"TransMONEE database 2010, Table 6.1"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),"Source: TransMONEE 2011, Table 6.1"
FootNote,Belarus (BLR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),"Source: Multiple Indicator Cluster Survey 2012, Final Report 2013"
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),Pan American Health Organization. Report from Ministry of Health transmitted to Area of Health Analysis and Information Systems (AIS) by PAHO/WHO Country Representative (PWR). 2005
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"Health Situation in the Americas, Basic Indicators 2006, PAHO/WHO."
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"MICS 2006, Final report, Table RH. 5 "
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),Belize Basic Indicators_2007_MOH
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),Belize basic Indicators 2008_MOH 
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"Source: Belize Basic Indicators 2010, page 11"
FootNote,Belize (BLZ),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),Source: MICS 2011
FootNote,Bermuda (BMU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2011 (YR2011),Extrapolated assuming the same as previous year.
FootNote,Bermuda (BMU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2012 (YR2012),Extrapolated assuming the same as previous year.
FootNote,Bolivia (BOL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"DHS 2003, Final report, Table 9.6, p. 163."
FootNote,Bolivia (BOL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Source: DHS 2008, Final report, Table 9.6, p.152"
FootNote,Brazil (BRA),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"Health Situation in the Americas, Basic Indicators 2006, PAHO/WHO."
FootNote,Brazil (BRA),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),Source: MoH - PNDS 2006
FootNote,Barbados (BRB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"Health Situation in the Americas, Basic Indicators 2005, PAHO/WHO "
FootNote,Barbados (BRB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Health Situation in the Americas, Basic Indicators 2006, PAHO/WHO"
FootNote,Barbados (BRB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"Health Situation in the Americas, Basic Indicators 2007, PAHO/WHO"
FootNote,Barbados (BRB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"Health Situation in the Americas, Basic Indicators 2008, PAHO/WHO "
FootNote,Barbados (BRB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Source: Health Situation in the America, Basic Indicators 2009, PAHO/WHO"
FootNote,Brunei Darussalam (BRN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),Statistic tables 2006. WHO regional office for the western pacific.
FootNote,Brunei Darussalam (BRN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),Country data
FootNote,Brunei Darussalam (BRN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),Source: Health Information Booklet 2009. MoH Brunei Darussalam
FootNote,Bhutan (BTN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"Living Standards Survey 2003, Table 5.7, p. 49"
FootNote,Bhutan (BTN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Bhutan Living Standards Survey 2007, Figure 5.4, pp. 58"
FootNote,Bhutan (BTN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Source: MICS 2010
FootNote,Botswana (BWA),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Source: Botswana Family Health Survey IV Report  2007, p94, Table A.19"
FootNote,Central African Republic (CAF),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"MICS 2006, Final report, Table RH.5"
FootNote,Central African Republic (CAF),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),Enquête Centrafricaine sur le Suivi Evaluation du Bien être 2009. Page 121. 
FootNote,Central African Republic (CAF),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Source: MICS 2010
FootNote,Canada (CAN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Health situation in the americas. Basic  indicators 2006. PAHO, Data are for 2003-04"
FootNote,Canada (CAN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Source: Public Health Agency of Canada.What Mothers Say: The Canadian Maternity Experience Survey. Ottawa, 2009."
FootNote,Canada (CAN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2011 (YR2011),Preliminary.
FootNote,Canada (CAN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2012 (YR2012),Extrapolated assuming the same as previous year.
FootNote,Switzerland (CHE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),Bundesamit fur Statistik SG. Personal communication February 2007. Estimate
FootNote,Switzerland (CHE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",2011 (YR2011),Break in series.
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Estadísticas de Natalidad y Mortalidad 2004, Departamento de Estadísticas e Información de Salud, Annex 1. "
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),Ministerio de Salud. Departamento de Estadísticas de Salud.Annexo Salud1
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),Ministerio de Salud. Departamento de Estadisticas de Salud.Anexo Salud1 
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"INE. Estadísticas Vitales, Informe Anual 2007. Sobre la base de nacidos vivos inscritos ocurridos. Annex 7"
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),INE. Estadísticas Vitales. Informe Anual 2008_2010
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),"Source: CHL INE. Estadísticas Vitales. Informe Anual 2009, page 106; table 1.2.2.1-14"
FootNote,Chile (CHL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Source: INE. Estadísticas Vitales. Informe anual 2010-2012
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"Ministry of Health, China Health Statistical Yearbook, 2004"
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Ministry of Health, China Health Statistical Yearbook, 2005"
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),National Bureau of Statistics of China
FootNote,China (CHN),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),National Bureau of Statistics of China
FootNote,Côte d'Ivoire (CIV),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Enquête Nutrition et Mortalite en Cote d'Ivoire, 2004, p. 22 and Table 6, p. 34."
FootNote,Côte d'Ivoire (CIV),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"EIS 2005, Final report, Table 4.13, p. 59"
FootNote,Côte d'Ivoire (CIV),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"MICS 2006, Final report, Table RH.5"
FootNote,Côte d'Ivoire (CIV),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),Source: DHS 2011-2012
FootNote,Cameroon (CMR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"DHS 2004, Final report, Table 8.6. p. 146."
FootNote,Cameroon (CMR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"MICS 2006, Reanalyzed by UNICEF HQ, April 2007."
FootNote,Cameroon (CMR),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),Source: DHS 2011
FootNote,"Congo, Rep. (COG)",Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"DHS 2005, Final report, Table 9.6, p 134"
FootNote,"Congo, Rep. (COG)",Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),"Source: (Preliminary) DHS 2011-2012, Tab.6,p.13"
FootNote,Colombia (COL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"DHS 2005, Final report, Table 10.9.1, p. 213."
FootNote,Colombia (COL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),"DHS 2010, Final report, Table 10.9.1, p.223"
FootNote,Colombia (COL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),"Source: Departamento Nacional de Estadística -DANE-(Prelim) 2011, 40913"
FootNote,Colombia (COL),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),Source: Departamento Administrativo Nacional de Estadística - DANE -(Prelim) 2012
FootNote,Comoros (COM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2012 (YR2012),Source: DHS(Prelim) 2012
FootNote,Cabo Verde (CPV),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"Source: DHS(INE, IDSR-II) 2005, Final report, Table 8.6, p.115"
FootNote,Costa Rica (CRI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"Centro Centroamericano de Población, Nacimientos, 2004."
FootNote,Costa Rica (CRI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),Estadisticas Vitales 2008 - Instituto Nacional de Estadística y Censos
FootNote,Costa Rica (CRI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),Instituto Nacional de Estadística y Censos. Estadísticas Vitales 2009_2010
FootNote,Costa Rica (CRI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Source: Vital statistics death registry and official population- Centro Centroamericano de Población_2010
FootNote,Costa Rica (CRI),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),Source: Vital statistics Birth Registry - Caja Costarricense Seguro Social 2011(Prelim) 2012
FootNote,Caribbean small states (CSS),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Aggregation based on most recent available country-level data (2007-).
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),National Health Statistics Bureau of the Ministry of Public Health.
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),National Health Statistics Bureau of the Ministry of Public Health.
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),National Health Statistics Bureau of the Ministry of Public Helath
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),National Health Statistics Bureau of the Ministry of Public Health           
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),National Health Statistics Bureau of the Ministry of Public Health-2010
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Registro de Obstetricia y Neonatología_2010
FootNote,Cuba (CUB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),"Source: Sistema de Información Estadístico de Servicios Externos 2010-2011, 2"
FootNote,Cayman Islands (CYM),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),Health situation in the americas. Basic  indicators 2006. PAHO
FootNote,Cyprus (CYP),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"European Health for all Database. WHO regional office for Europe, March 2007"
FootNote,Czech Republic (CZE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"TransMONEE database 2010, Table 6.1"
FootNote,Czech Republic (CZE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"TransMONEE database 2010, Table 6.1"
FootNote,Czech Republic (CZE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"TransMONEE database 2010, Table 6.1"
