"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","RESIDENCEAREATYPE (CODE)","RESIDENCEAREATYPE (DISPLAY)","RESIDENCEAREATYPE (URL)","Display Value","Numeric","Low","High","Comments"
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MOZ","Mozambique","","RUR","Rural","","0.5","0.51417","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2001","2001","","SEAR","South-East Asia","","NPL","Nepal","","RUR","Rural","","0.6","0.56058","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1995","1995","","AFR","Africa","","MLI","Mali","","RUR","Rural","","0.6","0.57438","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MOZ","Mozambique","","RUR","Rural","","0.6","0.59529","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","KHM","Cambodia","","RUR","Rural","","0.6","0.62013","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MDG","Madagascar","","RUR","Rural","","0.6","0.62922","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2000","2000","","AMR","Americas","","HTI","Haiti","","RUR","Rural","","0.7","0.69202","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","SEAR","South-East Asia","","NPL","Nepal","","RUR","Rural","","0.7","0.69689","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2004","2004","","AFR","Africa","","CMR","Cameroon","","RUR","Rural","","0.7","0.70458","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2004","2004","","AFR","Africa","","CMR","Cameroon","","RUR","Rural","","0.7","0.71973","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2001","2001","","SEAR","South-East Asia","","NPL","Nepal","","RUR","Rural","","0.7","0.73843","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2006","2006","","AFR","Africa","","MLI","Mali","","RUR","Rural","","0.8","0.75323","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MDG","Madagascar","","RUR","Rural","","0.8","0.75859","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","ZMB","Zambia","","RUR","Rural","","0.8","0.77416","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2012","2012","","AFR","Africa","","NER","Niger","","RUR","Rural","","0.8","0.78628","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","AFR","Africa","","GIN","Guinea","","RUR","Rural","","0.8","0.82670","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2006","2006","","AFR","Africa","","MLI","Mali","","RUR","Rural","","0.8","0.83867","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","ZMB","Zambia","","RUR","Rural","","0.8","0.84529","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2008","2008","","AFR","Africa","","SLE","Sierra Leone","","RUR","Rural","","0.9","0.85823","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2000","2000","","AMR","Americas","","HTI","Haiti","","RUR","Rural","","0.9","0.87924","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2008","2008","","AFR","Africa","","SLE","Sierra Leone","","RUR","Rural","","0.9","0.89294","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1998","1998","","AFR","Africa","","BFA","Burkina Faso","","RUR","Rural","","0.9","0.89662","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MDG","Madagascar","","RUR","Rural","","0.9","0.91090","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","AFR","Africa","","GIN","Guinea","","RUR","Rural","","0.9","0.92195","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MDG","Madagascar","","RUR","Rural","","0.9","0.93562","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2012","2012","","AFR","Africa","","NER","Niger","","RUR","Rural","","0.9","0.94757","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","NGA","Nigeria","","RUR","Rural","","1.0","0.99035","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1994","1994","","AFR","Africa","","CIV","Côte d'Ivoire","","RUR","Rural","","1.0","0.99487","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2009","2009","","SEAR","South-East Asia","","TLS","Timor-Leste","","RUR","Rural","","1.0","1.00108","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1998","1998","","AFR","Africa","","BFA","Burkina Faso","","RUR","Rural","","1.0","1.00260","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2008","2008","","AFR","Africa","","NGA","Nigeria","","RUR","Rural","","1.0","1.01817","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2010","2010","","AFR","Africa","","BFA","Burkina Faso","","RUR","Rural","","1.0","1.02913","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","NGA","Nigeria","","RUR","Rural","","1.1","1.08420","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2008","2008","","AFR","Africa","","NGA","Nigeria","","RUR","Rural","","1.1","1.10108","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2001","2001","","AFR","Africa","","ZMB","Zambia","","RUR","Rural","","1.1","1.13354","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2010","2010","","AFR","Africa","","BFA","Burkina Faso","","RUR","Rural","","1.1","1.14337","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","TCD","Chad","","URB","Urban","","1.1","1.14633","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","KHM","Cambodia","","RUR","Rural","","1.1","1.14857","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1998","1998","","AFR","Africa","","TGO","Togo","","RUR","Rural","","1.2","1.19157","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1998","1998","","AFR","Africa","","CIV","Côte d'Ivoire","","RUR","Rural","","1.2","1.19760","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2011","2011","","AFR","Africa","","CIV","Côte d'Ivoire","","RUR","Rural","","1.2","1.20766","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2001","2001","","AFR","Africa","","ZMB","Zambia","","RUR","Rural","","1.2","1.21971","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1999","1999","","AFR","Africa","","GIN","Guinea","","RUR","Rural","","1.3","1.28014","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","TCD","Chad","","URB","Urban","","1.3","1.29087","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1999","1999","","SEAR","South-East Asia","","BGD","Bangladesh","","RUR","Rural","","1.3","1.29402","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","BEN","Benin","","RUR","Rural","","1.3","1.31367","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2009","2009","","SEAR","South-East Asia","","TLS","Timor-Leste","","RUR","Rural","","1.3","1.33118","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SEN","Senegal","","RUR","Rural","","1.4","1.35363","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1998","1998","","AFR","Africa","","CIV","Côte d'Ivoire","","RUR","Rural","","1.4","1.36719","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2000","2000","","AFR","Africa","","RWA","Rwanda","","RUR","Rural","","1.4","1.37212","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","AMR","Americas","","HTI","Haiti","","RUR","Rural","","1.4","1.38577","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1997","1997","","AFR","Africa","","MOZ","Mozambique","","RUR","Rural","","1.4","1.38766","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SEN","Senegal","","RUR","Rural","","1.4","1.41775","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","KHM","Cambodia","","RUR","Rural","","1.4","1.42185","","",""
